Date,1540-price,1540-nav,1540-dev,1541-price,1541-nav,1541-dev,1542-price,1542-nav,1542-dev,1543-price,1543-nav,1543-dev
2023/02/01,7645,7648.91,-0.05,3975,4014.1,-0.97,8936,8280.11,7.92,65080,65055.31,0.04
2023/02/02,7664,7650.72,0.17,3935,3984.32,-1.24,8999,8186.97,9.92,65630,65039.64,0.91
2023/02/03,7528,7519.91,0.11,3965,4022.34,-1.43,8802,8446.39,4.21,65100,65045.02,0.08
2023/02/06,7549,7542.39,0.09,3900,3952.5,-1.33,8637,8394.86,2.88,65380,65022.73,0.55
2023/02/07,7565,7558.41,0.09,3890,3929.23,-1.00,8635,8282.18,4.26,65370,65022.62,0.53
2023/02/08,7520,7512.86,0.10,3885,3926.38,-1.05,8586,8309.97,3.32,65090,65019.76,0.11
2023/02/09,7528,7526.03,0.03,3890,3938.4,-1.23,8638,8301.48,4.05,66000,65002.27,1.53
2023/02/10,7479,7465.32,0.18,3820,3837.1,-0.45,8515,8117.16,4.90,65130,64985.69,0.22
2023/02/13,7496,7504.86,-0.12,3785,3824.86,-1.04,8501,7893.55,7.70,62820,64981.7,-3.33
2023/02/14,7481,7487.72,-0.09,3790,3849.88,-1.56,8520,8696.25,-2.03,62830,64977.93,-3.31
2023/02/15,7519,7487.64,0.42,3755,3793.17,-1.01,8549,8715.66,-1.91,60950,59466.14,2.50
2023/02/16,7527,7493.24,0.45,3735,3769.9,-0.93,8547,8776,-2.61,60200,59448.72,1.26
2023/02/17,7529,7502.63,0.35,3760,3806.07,-1.21,8568,8729.36,-1.85,60710,59442.28,2.13
2023/02/20,7550,7531.74,0.24,3745,3791.04,-1.21,8575,8838.76,-2.98,60800,59436.69,2.29
2023/02/21,7545,7524.07,0.28,3775,3811.42,-0.96,8652,8896.31,-2.75,61200,59423.84,2.99
2023/02/22,7559,7545.78,0.18,3840,3909.83,-1.79,8675,8903.62,-2.57,62210,59421.98,4.69
2023/02/24,7516,7491.61,0.33,3850,3925.5,-1.92,8540,8689.4,-1.72,60120,60684.76,-0.93
2023/02/27,7537,7515.04,0.29,3760,3820.38,-1.58,8407,8464.83,-0.68,59900,60709.32,-1.33
2023/02/28,7549,7532.01,0.23,3840,3915.06,-1.92,8411,8453.55,-0.50,60220,60698.28,-0.79
2023/03/01,7619,7606.74,0.16,3900,3979.07,-1.99,8558,8612.41,-0.63,59950,60691.39,-1.22
2023/03/02,7645,7623.7,0.28,3905,3999.44,-2.36,8549,8072.01,5.91,59870,58771.3,1.87
2023/03/03,7665,7644.44,0.27,3920,4022.6,-2.55,8580,8195.58,4.69,60000,58718.23,2.18
2023/03/06,7691,7660.28,0.40,3930,4049.35,-2.95,8637,8363.53,3.27,60380,60614.23,-0.39
2023/03/07,7670,7647.89,0.29,3930,4036.3,-2.63,8553,8210.91,4.17,60060,60617.87,-0.92
2023/03/08,7626,7598.56,0.36,3875,3968.46,-2.36,8306,8147.56,1.94,58690,58778.6,-0.15
2023/03/09,7591,7560.59,0.40,3860,3957.26,-2.46,8264,8108.38,1.92,57500,58773.12,-2.17
2023/03/10,7633,7624.9,0.11,3850,3953.49,-2.62,8239,8399.32,-1.91,57400,58708.2,-2.23
2023/03/13,7699,7686.2,0.17,3880,3973.74,-2.36,8386,8522.64,-1.60,56900,58588.42,-2.88
2023/03/14,7789,7762.81,0.34,3945,4030.33,-2.12,8657,8696.41,-0.45,58350,58351.55,0.00
2023/03/15,7798,7797.77,0.00,3945,4033.98,-2.21,8700,8820.89,-1.37,60340,59357.63,1.66
2023/03/16,7779,7773.06,0.08,3840,3906.72,-1.71,8649,8800.31,-1.72,58820,59246.97,-0.72
2023/03/17,7831,7814.64,0.21,3915,3990.23,-1.89,8692,8815.99,-1.41,57510,59275.32,-2.98
2023/03/20,8019,7969.68,0.62,3865,3904.64,-1.02,8849,8956.95,-1.21,56630,59193.02,-4.33
2023/03/22,7856,7832.19,0.30,3875,3946.31,-1.81,8820,8952.05,-1.48,56000,59289.98,-5.55
2023/03/23,7904,7876.6,0.35,3890,3949.96,-1.52,8940,8976.1,-0.40,56390,59254.32,-4.83
2023/03/24,7917,7901.14,0.20,3860,3922.98,-1.61,8948,8970.39,-0.25,55800,55463.31,0.61
2023/03/27,7887,7864.89,0.28,3840,3897.74,-1.48,8970,8943.03,0.30,55030,55474.45,-0.80
2023/03/28,7832,7802.3,0.38,3835,3875.4,-1.04,8915,8904.78,0.11,55060,55504.69,-0.80
2023/03/29,7909,7895.96,0.17,3830,3865.13,-0.91,9024,8990.2,0.38,55500,55526.7,-0.05
2023/03/30,7955,7942.27,0.16,3880,3960.71,-2.04,9190,9085.85,1.15,56720,55571.57,2.07
2023/03/31,8045,8017.94,0.34,3915,4002.44,-2.18,9336,9385.15,-0.52,58190,55579.86,4.70
2023/04/03,7978,7952.31,0.32,3915,4005.03,-2.25,9229,9284.21,-0.59,58490,55565.87,5.26
2023/04/04,8042,8007.12,0.44,3925,3969.7,-1.13,9300,9289.66,0.11,58400,55554.04,5.12
2023/04/05,8141,8116.85,0.30,4015,4066.17,-1.26,9612,9669.7,-0.60,57920,55516.62,4.33
2023/04/06,8087,8071.32,0.19,3960,4005.78,-1.14,9550,9689.08,-1.44,56730,55471.88,2.27
2023/04/07,8109,8089.21,0.24,3955,4002.01,-1.17,9794,9723.33,0.73,57530,55493.87,3.67
2023/04/10,8077,8062.43,0.18,3975,4029.68,-1.36,9775,9638.33,1.42,57850,55526.04,4.19
2023/04/11,8138,8129.55,0.10,3970,4033.34,-1.57,9783,9770.18,0.13,57300,55528.84,3.19
2023/04/12,8246,8229.81,0.20,4000,4056.48,-1.39,9960,9788.64,1.75,57840,55438.39,4.33
2023/04/13,8212,8206.05,0.07,4030,4098.19,-1.66,9990,9874.01,1.17,58010,55397.3,4.72
2023/04/14,8258,8250.45,0.09,4105,4207.65,-2.44,10095,10130.42,-0.35,59740,57217.55,4.41
2023/04/17,8236,8217.99,0.22,4115,4205.61,-2.15,9993,9913.41,0.80,60000,57254.21,4.80
2023/04/18,8204,8196.12,0.10,4135,4240.82,-2.50,9880,9936.5,-0.57,62480,57259.73,9.12
2023/04/19,8208,8188.46,0.24,4195,4321.5,-2.93,9906,10101.81,-1.94,64700,62736.77,3.13
2023/04/20,8181,8190.26,-0.11,4285,4385.48,-2.29,9910,10033.81,-1.23,63800,62786.1,1.61
2023/04/21,8146,8145.67,0.00,4260,4399.34,-3.17,9817,9861.71,-0.45,62330,62759.54,-0.68
2023/04/24,8117,8109.42,0.09,4275,4423.28,-3.35,9680,9693.04,-0.13,62820,62764.9,0.09
2023/04/25,8169,8161.4,0.09,4250,4390.74,-3.21,9812,9810.02,0.02,60440,58865.76,2.67
2023/04/26,8142,8135.75,0.08,4270,4404.6,-3.06,9782,9714.14,0.70,58870,58853.89,0.03
2023/04/27,8157,8144.18,0.16,4275,4402.68,-2.90,9854,9826.48,0.28,59900,58833.79,1.81
2023/04/28,8172,8162.07,0.12,4245,4348.78,-2.39,9879,9880.25,-0.01,59970,58804.54,1.98
2023/05/01,8269,8264.96,0.05,4295,4407.04,-2.54,10040,9936.42,1.04,60000,58807.71,2.03
2023/05/02,8317,8320.71,-0.04,4240,4354.09,-2.62,9986,10042.2,-0.56,59660,58796.75,1.47
2023/05/08,8319,8300.27,0.23,4245,4327.75,-1.91,10100,10066.43,0.33,60000,58795.9,2.05
2023/05/09,8356,8327.62,0.34,4295,4358.3,-1.45,10125,10058.85,0.66,61850,60858.48,1.63
2023/05/10,8400,8373.9,0.31,4390,4490.91,-2.25,10105,10130.25,-0.25,62110,60908.73,1.97
2023/05/11,8351,8317.02,0.41,4405,4461.15,-1.26,9997,9895.03,1.03,63110,62722.71,0.62
2023/05/12,8297,8256.36,0.49,4310,4355.33,-1.04,9620,9690.48,-0.73,61690,62695.25,-1.60
2023/05/15,8379,8367.75,0.13,4290,4369.06,-1.81,9537,9578.56,-0.43,60850,62720.71,-2.98
2023/05/16,8372,8332.65,0.47,4270,4352.3,-1.89,9611,9539.4,0.75,60510,62713.36,-3.51
2023/05/17,8311,8301.32,0.12,4275,4390.27,-2.63,9570,9534.62,0.37,60130,62735.25,-4.15
2023/05/18,8296,8289.87,0.07,4305,4439.38,-3.03,9610,9584.65,0.26,60020,62732.46,-4.32
2023/05/19,8290,8282.21,0.09,4310,4415.2,-2.38,9602,9714.6,-1.16,59430,62746.13,-5.28
2023/05/22,8315,8299.91,0.18,4320,4437.27,-2.64,9610,9574.81,0.37,60010,62727.72,-4.33
2023/05/23,8311,8293.19,0.21,4330,4468.75,-3.10,9602,9628.56,-0.28,59930,62761.49,-4.51
2023/05/24,8342,8341.36,0.01,4320,4426.94,-2.42,9511,9808.68,-3.03,59840,60920.94,-1.77
2023/05/25,8330,8323.29,0.08,4255,4315.55,-1.40,9440,9547.45,-1.13,58770,60959.3,-3.59
2023/05/26,8319,8304.27,0.18,4290,4364.66,-1.71,9424,9591.91,-1.75,58630,60969.34,-3.84
2023/05/29,8359,8330.49,0.34,4285,4389.52,-2.38,9507,9731.8,-2.31,59000,60961.97,-3.22
2023/05/30,8318,8292.54,0.31,4320,4390.38,-1.60,9405,9685.2,-2.89,59500,60954.64,-2.39
2023/05/31,8356,8333.14,0.27,4245,4317.03,-1.67,9425,9673.92,-2.57,59140,60950.96,-2.97
2023/06/01,8367,8356.69,0.12,4215,4253.84,-0.91,9577,9820.44,-2.48,57310,59082.95,-3.00
2023/06/02,8398,8372.67,0.30,4230,4287.16,-1.33,9674,9973.53,-3.00,57900,59064.69,-1.97
2023/06/05,8332,8306.17,0.31,4225,4289.76,-1.51,9621,9818.95,-2.02,58680,59057.4,-0.64
2023/06/06,8332,8321.21,0.13,4260,4365.73,-2.42,9634,9733.37,-1.02,58240,59040.06,-1.36
2023/06/07,8354,8324.9,0.35,4285,4389.78,-2.39,9543,9665.44,-1.27,58610,59031.85,-0.71
2023/06/08,8331,8290.75,0.49,4270,4354.48,-1.94,9586,9717.3,-1.35,57590,59029.11,-2.44
2023/06/09,8349,8338.91,0.12,4240,4311.77,-1.66,9840,9852.75,-0.13,57100,58984.37,-3.19
2023/06/12,8351,8326.33,0.30,4210,4272.64,-1.47,9757,9853.26,-0.98,55780,57142.49,-2.38
2023/06/13,8347,8328.13,0.23,4185,4243.83,-1.39,9774,9822.47,-0.49,56570,57097.78,-0.92
2023/06/14,8332,8311.95,0.24,4135,4187.21,-1.25,9686,9768.47,-0.84,56680,57086.86,-0.71
2023/06/15,8357,8330.78,0.31,4120,4180.66,-1.45,9618,9801.76,-1.87,56740,57075.02,-0.59
2023/06/16,8391,8393.12,-0.03,4180,4250.14,-1.65,9719,9804.41,-0.87,58490,57078.7,2.47
2023/06/19,8434,8436.35,-0.03,4155,4233.27,-1.85,9837,10110.44,-2.70,58900,58913.4,-0.02
2023/06/20,8433,8434.37,-0.02,4140,4177.57,-0.90,9782,10110.3,-3.25,58130,58916.15,-1.33
2023/06/21,8383,8357.65,0.30,4105,4129.3,-0.59,9585,9812.05,-2.31,57720,58883.28,-1.98
